SRR7477667	Z66
SRR7477668	Z65
SRR7477669	C13
SRR7477670	Z67
SRR7477671	Arica5
SRR7477672	Arica4
SRR7477673	Z6
SRR7477674	Z2
SRR7477675	C22
SRR7477676	C23
SRR7477677	C20
SRR7477678	C21
SRR7477679	C28
SRR7477680	C29
SRR7477681	C26
SRR7477682	C27
SRR7477683	C3
SRR7477684	C30
SRR7477685	C8
SRR7477686	C9
SRR7477687	C44
SRR7477688	C47
SRR7477689	C48
SRR7477690	C11
SRR7477691	C12
SRR7477692	C1
SRR7477693	C10
SRR7477694	C15
SRR7477695	C17
SRR7477696	C6
SRR7477697	C14
SRR7477698	C18
SRR7477699	C19
SRR7477700	C43
SRR7477701	C45
SRR7477702	C42
SRR7477703	C40
SRR7477704	C5
SRR7477705	C34
SRR7477706	C33
SRR7477707	C32
SRR7477708	C31
SRR7477709	C39
SRR7477710	C38
SRR7477711	C36
SRR7477712	C35
SRR7477713	Z64
SRR7477714	Z61
SRR7477715	C46
