LH162	SRR5991732
LH220Ht	SRR5991733
F42	SRR5991754
4N506	SRR5991804
LH150	SRR5991821
LH150	SRR5991822
LH220Ht	SRR5991930
78004	SRR5991966
4N506	SRR5991971
779	SRR5991973
78004	SRR5991974
B8	SRR5991976
B7	SRR5991977
HB8229	SRR5991997
HB8229	SRR5991998
LH150	SRR5992011
LH160	SRR5992027
LH160	SRR5992033
LH196	SRR5992046
LH196	SRR5992051
PHV53	SRR6002493
PHR25	SRR6002508
PHN73	SRR6002514
PHR25	SRR6002519
PHN73	SRR6002523
W8555	SRR6002525
W8555	SRR6002530
PHM81	SRR6002584
PHT77	SRR6002633
PHK05	SRR6002676
PHK05	SRR6002692
PHV53	SRR6002706
PHM81	SRR6002720
PHG86	SRR6002727
PHG86	SRR6002739
PHR55	SRR6002770
ZS01250	SRR6002783
ZS01250	SRR6002784
PHT77	SRR6002799
PHR55	SRR6002801
PHR63	SRR10128118
PHP60	SRR10128119
WIL500	SRR10128194
S8324	SRR10128200
PHN47	SRR10128203
11430	SRR10128210
787	SRR10128212
CR1HT	SRR10128223
PHJ31	SRR10128318
PHM57	SRR10128404
LH93	SRR10128405
LH52	SRR10128410
PHJ75	SRR10128418
PHG83	SRR10128422
PHT60	SRR10128426
PHG84	SRR10128520
LH39	SRR10128521
LH51	SRR10128526
PHR32	SRR10128562
PHW51	SRR10128676
RS710	SRR10128680
L127	SRR10128126
W182BN	SRR10127972
DKMM402A	SRR10128663
DK3IBZ2	SRR10128662
DK83IBI3	SRR10128661
DKMBUB	SRR10128067
DKIB02	SRR10128214
DK78004	SRR10128432
