"Taxa","BranchesPerTassel","BranchZoneLengthCM","BushelAcreEquivalent","CobWeightGrams","DaysToPollen","DaysToSilk","EarFilledLengthCM","EarLengthCM","EarsPerPlant","EarWidthCM","ExtantLeafNumber1","GrainPercentMoisture","HundredKernelMassGrams","KernelRowNumber","KernelsPerRow","LeafAngle","LeafLengthCM","LeafWidthCM","PlantHeightCM","TasselLengthCM","TasselSpikeLengthCM","TotalGrainMassGrams","QY_max","Fv.Fm_L1","QY_L1","NPQ_L1","qN_L1","qP_L1","Rfd_L1","NPQmaxme","NPQendme","npqslop1me","npqslop2me","af1npq","bf1npq","af2npq","bf2npq","af3npq","bf3npq","cf3npq","af4npq","bf4npq","cf4npq","phippsiiend","af3phipsii","bf3phipsii","cf3phipsii","af4phipsii","bf4phipsii","cf4phipsii","phipsiietos","phtoNPQend"
"11430",7.67,11.2,81.85,11.57,69,71,11.54,12.54,1,3.79,11.75,7.6,29.84,15,20.5,23.4,78.25,8.575,179.75,37.25,26.05,554.45,0.218975015135485,0.227370771947768,-0.0430450115484157,-0.205426219758082,-0.226412314544739,0.0342432141998039,-0.122529349475709,-0.624015049476849,0.0668993984788186,-0.18146051232489,0.342243665704113,-0.252492426571527,-0.693420255120454,-0.720152066766609,0.146102231467285,-0.244661434938715,-0.7106143338166,-0.61159934937077,-0.716880415651358,0.176257699975787,0.165196456358576,0.0808854207764255,0.436727814452972,-0.103082698578202,0.0781269285136208,-0.0648488460057788,0.422144592398477,0.0695360334341386,-0.192792407818347,0.117057986208675
"1538",6.67,7.35,73.9,9.615,65.5,66.5,12,12.335,1,4.08,11.75,7.9,25.645,14,23.75,NA,72.25,6.425,170,32.685,25.33,500.6,-0.145349902418291,-0.13984787570176,0.0952557660137035,-0.041764104899704,-0.0480158017044584,0.1250232796638,0.000130254210260042,-0.401350000359776,0.0195848961480002,0.0174561929553684,-0.0501261632547572,0.0813708280564416,-0.464228667552614,-0.446844303047426,0.389771781853575,0.266406828261894,-0.535059330261339,-0.426097057936784,-0.524307636896394,0.568870385124281,-0.10297181552692,-0.0627473822977112,0.243961094399033,-0.134082007859536,-0.032632889973119,-0.107128712836898,0.227223631841849,-0.0211617900070845,-0.129162232677801,0.00576415590230478
"2369",5.5,6,117.3,18.305,74.5,76.5,14.625,16.375,1.125,4.21,14,8.1,22.445,14.665,30.33,22.45,73.75,8.35,198,26.32,20.315,794.6,0.262272707792958,0.186154882966939,0.12514300813172,0.175990907138791,0.172331102163406,0.142078723847482,0.199229854076614,0.387652152285265,0.182825359094707,0.0489904441066572,-0.635680368266442,-0.0561424018947232,0.482757761114219,0.460180817198628,-0.250331181186849,0.321898572563948,0.443866742946823,0.344870043477566,0.455535972759717,0.121074762504819,0.198954570496043,0.24216559481011,-0.305631649800886,0.0608480533214298,0.335848058977049,0.0732788074182666,0.0504181423341007,0.333836052400091,0.0294601758871697,-0.037639323532512
"282set_Yu796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29MIBZ2",8.67,9.285,89.8,13.25,65,67.5,13.71,14.5,1,3.585,10.5,7.25,22.345,14,26.58,45.6,75.875,8.375,153,31.5,22.22,608.25,0.311623468531796,0.0373806402073086,0.11784355806994,-0.115680519730072,0.241285826148757,0.109952247554612,-0.0183200067102429,0.0349330305266403,0.13565281942823,0.0868736551283565,-0.161748038060303,-0.188515499510504,0.106866933755629,0.103992972121635,-0.204946277338432,0.253951505213012,-0.0549671001576943,-0.00231895551797249,-0.0444617446301463,0.285398219822866,0.213836497329501,0.172064929835817,-0.0523532262504129,0.00518734718487464,0.261168505168129,-0.00434658605393677,-0.0993063725813661,0.292128239933217,0.113763822036523,0.00435014607128533
"2FACC",7.335,6.465,89.45,15.385,71,71.5,10.875,11.525,1,4.02,13.5,8.05,29.845,16.045,22.625,31.15,74.5,8,184.5,27.835,21.37,605.85,-0.822609767177855,-0.704130001521267,0.221803130130008,-0.368290038394261,-0.238431606261118,0.137682290351267,-0.229630937721884,-1.14661117030654,-0.347518043389086,-0.369214144908961,0.0736037697461662,-0.361032916355713,-0.982699918203784,-1.04212899136616,0.312337430233085,-0.0542675292006434,-1.13167839473646,-1.13488812377235,-1.10519338560159,0.610911094280923,-0.493137592182028,-0.985610638270219,0.618962865213288,-1.0767998194036,0.00605970518885272,-1.00932717164339,0.915338452428856,-0.0237793296756069,-0.745394460647227,-0.0178055508813467
"2FADB",6.665,6.115,105.05,15.89,71,72,11.335,11.545,1,4.46,14,8.1,33.695,14.08,21.5,34.15,75.875,8.35,186,25.52,19.4,711.7,-0.630827408657386,-0.479960110557694,0.143462727606038,-0.600894323131257,-0.667068120832434,0.118450654887011,-0.655826038989679,-0.94439877128469,-0.584199192829843,-0.767025466373432,-0.241393144911327,-0.623551991502077,-0.607474217238243,-0.71272175396857,-0.568829731690748,1.02081997273117,-0.891205619184029,-0.951611320108323,-0.859040664515615,1.17311373118406,-0.571372629113113,-0.634596176429127,0.998234569495281,-0.659340053856958,0.0976668704308481,-0.622829518732928,1.28020988356649,0.045068426813416,-0.822972439824574,0.419690355341449
"2MA22",4.67,7.65,93.6,11.415,69.5,76.5,10.5,11.875,1.0625,3.96,10.75,8.45,27.715,13.83,22.58,28.8,83.75,7.475,171.75,33.48,25.835,633.9,-0.0204913646548004,0.310148445603363,0.00109819209310029,-1.19276422401508,-1.32207024558114,0.029270858224729,-1.07752033271965,-0.288369622345414,0.0509894249615896,-1.28270491612027,0.113399864199431,-0.786029180223558,0.155379778797956,0.0450426384170915,-0.727110011528109,-0.08729816424789,-0.215046706978288,-0.263678876729457,-0.202927065979204,0.0262066870773695,-0.157493720065474,0.0523241965422286,-0.0508361827268697,0.104817131349124,-0.0209758432103503,0.0973246133309246,-0.0843023253604151,-0.0515960695782973,0.331630722381425,0.130644903610161
"2MCDB",10,7.7,87.7,11.095,68,69,12.335,14.915,1.0625,3.625,10.75,8.75,23.075,12.665,26.665,30.25,75.875,8.125,186.75,31.88,24.185,594.1,-0.0436478218236518,-0.185158295108121,-0.600906992028434,0.412174652771473,0.40365567408667,-0.0651238586705849,0.268204904349891,0.0983134456520714,0.122741055592798,0.427743568666166,-0.201446962446436,0.633205819846425,-0.123169834871016,-0.0661638421269711,0.657846553902825,0.441552083179438,0.127735438189945,0.106126199009841,0.144300139504238,0.343265471070251,-0.216254873431857,0.100634616733095,0.075534428460718,0.297697778879896,-0.118110670004612,0.326613831032989,-0.0942721840591789,-0.147093154633482,0.309485348952761,0.0390444848665836
"33-16",19.5,13.915,34.3,10.64,78.5,87,9.17,10.835,0.625,3.665,13.5,NA,26.615,12.25,18.585,26.5,74.625,8.55,198,34.1,20.185,232.4,-0.118887717593716,-0.280214767012646,0.171218292411593,0.570737747856221,0.528586544952624,0.131609182328005,0.726481280324872,-0.0606986870495316,0.441632365779005,0.516763139939522,0.306334182841792,0.50216449622546,-0.249291083166092,-0.177237868676491,0.620487218683839,-0.27728724742394,-0.223917046370808,-0.0830039246954919,-0.236828222593326,-0.200900990840989,0.31148806765972,-0.380671735029682,-0.0457913165253252,-0.23374589495245,0.0336395519880102,-0.243559251708858,-0.0108639340113131,0.0634781433619814,0.0149733397965476,-0.39395772151218
