ID,Species,Group,Group_As_On_Fig2,Source,Proportion_Heterozygous,PC1,PC2,PC3,PC4,PC5,PC6
11430,Z. mays,IDT,IDT,Bukowski et al. 2018,0.03547,0.0169644,0.0282401,0.0022866,0.0046703,0.00304147,0.0132645
1538,Z. mays,IDT,IDT,Qiu et al. 2021,0.09918,0.0195704,0.00760501,-0.0490998,0.0317037,0.0276595,-0.00256487
178,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02886,0.00954152,-0.0119219,0.00421473,-0.0030553,-0.0128189,0.0178063
18_599,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02616,0.00816848,-0.00926268,0.0132497,-0.00260525,0.0035725,0.0367638
196,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02713,0.004884,-0.0291778,0.0266583,-0.0170056,0.0132506,0.0154226
200B,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02789,0.00302251,-0.0188455,0.0328083,-0.0127764,0.0227032,-0.000187223
2369,Z. mays,SS,SS,Qiu et al. 2021,0.00992,0.0176645,0.068166,0.00961255,0.00390234,-0.0153783,0.0114969
29MIBZ2,Z. mays,IDT,IDT,Qiu et al. 2021,0.03568,0.0182009,-0.0231306,-0.087088,0.0505681,0.0677007,0.0133108
2FACC,Z. mays,SS,SS,Qiu et al. 2021,0.02478,0.0173797,0.0541104,0.00435843,0.00703272,-0.0142857,0.00440361
2FADB,Z. mays,SS,SS,Qiu et al. 2021,0.02216,0.0174731,0.0538504,0.00374768,0.00751516,-0.0142113,0.00392843
2MA22,Z. mays,Mixed,Other,Qiu et al. 2021,0.03446,0.0116261,-0.0194462,-0.00915357,-0.00590681,-0.0136207,-0.0106069
2MCDB,Z. mays,NSS,NSS,Qiu et al. 2021,0.02902,0.0117591,-0.0208512,-0.0105442,-0.00664349,-0.0171854,-0.0126478
32,Z. mays,SS,Huangzaosi (China),Wang et al. 2020,0.01609,0.0178337,0.051653,0.00699743,-0.00229567,-0.028222,0.0232392
33-16,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.02994,0.0081241,-0.016855,0.00220412,-0.00459768,0.000953246,-0.0169253
334_1,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.04487,0.0112676,-0.0136619,0.00783568,-0.00717221,-0.00215293,-0.00194224
38-11,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.03499,0.0102881,-0.00808528,-0.00308463,-0.00108634,0.00452555,-0.0213433
3H_2,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02644,0.0112945,-0.00791885,0.0105471,-0.0111977,-0.0185805,0.00309981
3IJI1,Z. mays,IDT,IDT,Qiu et al. 2021,0.032,0.0178484,-0.0219338,-0.0843445,0.0495106,0.066339,0.00434377
4112,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02203,0.0163043,0.016953,0.00355991,-0.00448846,-0.0195508,0.016182
4226,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03176,0.00831465,-0.0161709,-0.00184133,-0.00296386,0.00834374,-0.00441764
434,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02749,0.0104753,-0.00683516,0.00671505,-0.00651458,-0.0154805,-0.0255304
444,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02439,0.00767456,-0.0276764,0.0209775,-0.0158682,0.0105498,0.0170083
446,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.02832,0.0143553,-0.0241865,-0.00919469,-0.0117537,-0.03232,-0.0101667
4554_INBRED,Z. mays,Sweet corn,Other,This Study,0.05297,0.00106408,-0.015697,0.0237019,-0.00790757,0.00981241,-0.0516294
4578_INBRED,Z. mays,Mixed,Other,This Study,0.02309,0.00799881,-0.0223741,0.0147986,-0.0154313,-0.0110029,0.0106337
4722,Z. mays,Popcorn,Other,Bukowski et al. 2018,0.02872,0.0033691,-0.0100418,0.01319,-0.00609844,0.00752911,-0.0377581
485,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.02907,0.0135376,-0.0359212,-0.0148088,-0.025461,-0.070473,0.044746
488,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02251,0.0155325,0.012376,0.00665403,-0.00591442,-0.0109345,0.0214889
48_2,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.07599,0.00348606,-0.0115499,0.0233332,-0.00943722,0.012213,0.001615
4F-234_BX_4,Z. mays,Mixed,Other,This Study,0.08033,0.00375187,-0.0142787,0.0309214,-0.00735104,0.0285113,0.0103605
4F-306_108,Z. mays,Tropical,Tropical,This Study,0.02982,0.000261566,-0.0159891,0.0300391,-0.00916608,0.0188225,-0.00415213
4F-35_BK,Z. mays,Tropical,Tropical,Qiu et al. 2021,0.03793,-0.00228925,-0.0192079,0.0303902,-0.0100333,0.019099,-0.00704207
4F1,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.0293,0.0136318,-0.0339827,-0.0161461,-0.0168804,-0.0569125,0.0227803
4N506,Z. mays,SS,SS,Bukowski et al. 2018,0.00443,0.0191415,0.0752088,0.010308,0.0068613,-0.00941466,0.0106038
5005,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.03081,0.0120824,-0.0169413,0.000211738,-0.00688176,-0.00287892,0.0252858
515,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02429,0.00812992,-0.0122256,0.0191501,-0.00866222,0.0110572,0.0113255
52220,Z. mays,Mixed,Other,This Study,0.02385,0.00524313,-0.0177959,0.0268703,-0.00989502,0.0220922,0.0116233
