GenotypeID_V5_Grzybowski_etal_2022,State_Country_Origin,Subpopulation_Heteroticgroup
764,ExPVP,Stiff Stalk
779,ExPVP,Unclassified
787,ExPVP,Unclassified
790,ExPVP,Stiff Stalk
792,Other,Stiff Stalk
793,ExPVP,Stiff Stalk
904,"Novartis Seeds, Inc.",Iodent
911,"Novartis Seeds, Inc.",Iodent
912,"Novartis Seeds, Inc.",Iodent
1538,ExPVP,Iodent
2369,"Cargill, Inc., ExPVP",Stiff Stalk
4226,Illinois,Non Stiff Stalk
4722,Indiana,PopCorn
11430,"Cargill, Inc., ExPVP",Iodent
52220,China,Unclassified
29MIBZ2,ExPVP,Iodent
2FACC,ExPVP,Stiff Stalk
2FADB,DEKALB Plant Genetics,Stiff Stalk
2MA22,ExPVP,Non Stiff Stalk
2MCDB,DEKALB Plant Genetics,Non Stiff Stalk
33-16,Indiana,Non Stiff Stalk
38-11,Indiana,Non Stiff Stalk
3IJI1,DEKALB Plant Genetics,Iodent
4554_INBRED,Other,Unclassified
4578_INBRED,Other,Unclassified
4F-234_BX_4,Argentina,Tropical
4F-306_108,Argentina,Unclassified
4F-35_BK,Argentina,Tropical
4N506,ExPVP,Stiff Stalk
6F629,ExPVP,Stiff Stalk
6M502,ExPVP,Non Stiff Stalk
6M502A,ExPVP,Non Stiff Stalk
78551S,ExPVP,Non Stiff Stalk
80-2,Other,Unclassified
87916W,ExPVP,Stiff Stalk
91IFC2,DEKALB Plant Genetics,Iodent
A,Illinois,Non Stiff Stalk
A12,Minnesota,Non Stiff Stalk
A15,Minnesota,Non Stiff Stalk
A155,Minnesota,Unclassified
A171,Minnesota,Unclassified
A188,Minnesota,Non Stiff Stalk
A208,Minnesota,Non Stiff Stalk
A214NGoodman-Buckler,South Africa,Tropical 
A239,Minnesota,Non Stiff Stalk
A258,Minnesota,Non Stiff Stalk
A272,South Africa,Tropical
A305,Minnesota,Unclassified
A321,Minnesota,Non Stiff Stalk
A322,Minnesota,Unclassified
A334,Minnesota,Unclassified
A340,Minnesota,Unclassified
A344,Minnesota,Non Stiff Stalk
A374,Minnesota,Non Stiff Stalk
A385,Minnesota,Non Stiff Stalk
A3G-3-3-1-313,,Unclassified
A401,Minnesota,Non Stiff Stalk
A415-1-3_INBRED,South Africa,Tropical 
A427,Minnesota,Unclassified
A441-5,South Africa,Tropical 
A508,Minnesota,Unclassified
A548,Minnesota,Non Stiff Stalk
A554,Minnesota,Non Stiff Stalk
A556,Minnesota,Non Stiff Stalk
A572,Minnesota,Unclassified
A6,Pioneer,Tropical
A619,Minnesota,Non Stiff Stalk
A627,Minnesota,Non Stiff Stalk
A632,Minnesota,Stiff Stalk
A634,Minnesota,Stiff Stalk
A635,Minnesota,Stiff Stalk
A641,Minnesota,Stiff Stalk
A648,Minnesota,Non Stiff Stalk
A649,Minnesota,Non Stiff Stalk
A651,Minnesota,Non Stiff Stalk
A654,Minnesota,Non Stiff Stalk
A659,Minnesota,Non Stiff Stalk
A661,Minnesota,Non Stiff Stalk
A662,Minnesota,Unclassified
A663,Minnesota,Unclassified
A672,Minnesota,Stiff Stalk
A673,Minnesota,Unclassified
A674,Minnesota,Unclassified
A679,Minnesota,Stiff Stalk
A680,Minnesota,Stiff Stalk
A682,Minnesota,Non Stiff Stalk
A71,Minnesota,Non Stiff Stalk
A73,Minnesota,Non Stiff Stalk
A797NW,South Africa,Tropical 
