VCFname,Uniform_Name,Species,Subpopulation,Group,Source,CountryOfOrigin,HeteroticGroup,ImprovementEra,Latitude,Longitude,Notes,Proportion_Heterozygous,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,IsBugeater,ShortName
11430,11430,Z.mays,IDT,IDT,Bukowski et al. 2018,USA,NA,NA,NA,NA,NA,0.03547,0.0410721,-0.0392278,0.0136597,-0.00241213,-0.00585174,0.0107917,0.0178201,0.0164106,0.00428095,0.024159,yes,HapMap3
1538,1538,Z.mays,IDT,IDT,Qiu et al. 2021,USA,NA,NA,NA,NA,NA,0.09918,0.0141155,0.0410922,0.0391713,0.0657607,-0.0122751,-0.00958818,0.00699883,-0.0126881,-0.0115734,-0.0331268,yes,WiDivCore
178,178,Z.mays,Mixed,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02886,0.0112382,0.00165339,-0.00309918,-0.0256724,-0.00745024,0.00488609,0.00024889,-0.0430273,0.0149927,-0.00477941,no,CN
18_599,18599,Z.mays,HZS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02616,0.0110634,-0.00875075,-0.00976814,-0.0163661,-0.00746324,0.00717422,0.00285338,-0.0529053,0.013978,-0.0162795,no,CN
196,196,Z.mays,HZS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02713,0.00264269,-0.00251056,-0.0228194,-0.0347165,-0.0212295,0.00742678,-0.0485998,-0.0896329,0.0326632,-0.03017,no,CN
200B,200B,Z.mays,HZS,Huangzaosi (China),Wang et al. 2020,China,NA,NA,NA,NA,NA,0.02789,0.00622172,-0.013857,-0.0183315,-0.0209156,-0.0196861,0.00369845,-0.0513096,-0.0684577,0.0176215,-0.0486332,no,CN
2369,2369,Z.mays,SS,SS,Qiu et al. 2021,USA,NA,NA,NA,NA,NA,0.00992,0.03434,-0.0308404,0.0238788,-0.00310357,0.0100556,0.00621312,0.0247808,0.0202928,0.00573851,0.0358721,yes,WiDivCore
29MIBZ2,29MIBZ2,Z.mays,IDT,IDT,Qiu et al. 2021,USA,NA,NA,NA,NA,NA,0.03568,0.00489011,0.0618146,0.0370475,0.0772024,-0.0950913,0.0334423,0.0211229,-0.00039533,-0.00991339,-0.0172054,yes,WiDivCore
2FACC,2FACC,Z.mays,SS,SS,Qiu et al. 2021,USA,NA,NA,NA,NA,NA,0.02478,0.0277769,-0.0104127,0.027491,0.0111816,0.0319054,-0.0141504,0.0180729,0.00113804,0.00401855,0.0202423,yes,WiDivCore
2FADB,2FADB,Z.mays,SS,SS,Qiu et al. 2021,USA,NA,NA,NA,NA,NA,0.02216,0.0280463,-0.009624,0.0298798,0.0100907,0.030746,-0.0161921,0.0156196,-0.00212745,0.00400475,0.0155549,yes,WiDivCore
